megye,ev,szam
Suceava,1999,1352
Teleorman,1999,512
Timis,1999,836
Tulcea,1999,463
Valcea,1999,637
Vaslui,1999,744
Vrancea,1999,823
Alba,2000,570
Arad,2000,864
Arges,2000,757
Bacau,2000,1523
Bihor,2000,672
Bistrita-Nasaud,2000,486
Botosani,2000,704
Braila,2000,695
Brasov,2000,1097
Buzau,2000,706
Calarasi,2000,404
Caras-Severin,2000,462
Cluj,2000,839
Constanta,2000,1259
Covasna,2000,297
Dambovita,2000,753
Dolj,2000,514
Galati,2000,1249
Giurgiu,2000,214
Gorj,2000,292
Harghita,2000,330
Hunedoara,2000,1306
Ialomita,2000,427
Iasi,2000,1103
Ilfov,2000,149
Maramures,2000,819
Mehedinti,2000,333
Municipiul Bucuresti,2000,2708
Mures,2000,692
Neamt,2000,776
Olt,2000,435
Prahova,2000,1086
Salaj,2000,261
Satu Mare,2000,592
Sibiu,2000,862
Suceava,2000,1188
Teleorman,2000,493
Timis,2000,631
Tulcea,2000,358
Valcea,2000,609
Vaslui,2000,539
Vrancea,2000,671
Alba,2001,550
Arad,2001,927
Arges,2001,1056
Bacau,2001,1420
Bihor,2001,530
Bistrita-Nasaud,2001,490
Botosani,2001,616
Braila,2001,666
Brasov,2001,1047
Buzau,2001,749
Calarasi,2001,426
Caras-Severin,2001,588
Cluj,2001,739
Constanta,2001,1409
Covasna,2001,290
Dambovita,2001,942
Dolj,2001,593
Galati,2001,1045
Giurgiu,2001,194
Gorj,2001,417
Harghita,2001,328
Hunedoara,2001,1241
Ialomita,2001,394
Iasi,2001,1001
Ilfov,2001,194
Maramures,2001,823
Mehedinti,2001,391
Municipiul Bucuresti,2001,2386
Mures,2001,655
Neamt,2001,980
Olt,2001,431
Prahova,2001,955
Salaj,2001,269
Satu Mare,2001,716
Sibiu,2001,874
Suceava,2001,1117
Teleorman,2001,532
Timis,2001,669
Tulcea,2001,507
Valcea,2001,791
Vaslui,2001,516
Vrancea,2001,671
Alba,2002,669
Arad,2002,866
Arges,2002,934
Bacau,2002,1583
Bihor,2002,624
Bistrita-Nasaud,2002,415
Botosani,2002,698
Braila,2002,784
Brasov,2002,977
Buzau,2002,698
Calarasi,2002,488
Caras-Severin,2002,522
Cluj,2002,1022
Constanta,2002,1174
Covasna,2002,275
Dambovita,2002,899
Dolj,2002,317
Galati,2002,1145
Giurgiu,2002,151
Gorj,2002,441
Harghita,2002,336
Hunedoara,2002,1433
Ialomita,2002,404
Iasi,2002,849
Ilfov,2002,135
Maramures,2002,823
Mehedinti,2002,496
Municipiul Bucuresti,2002,2000
Mures,2002,711
Neamt,2002,1003
Olt,2002,489
Prahova,2002,1527
Salaj,2002,280
Satu Mare,2002,881
Sibiu,2002,861
Suceava,2002,1102
Teleorman,2002,537
Timis,2002,1000
Tulcea,2002,495
Valcea,2002,664
Vaslui,2002,430
Vrancea,2002,652
Alba,2003,636
Arad,2003,855
Arges,2003,884
Bacau,2003,1560
Bihor,2003,734
Bistrita-Nasaud,2003,402
Botosani,2003,711
Braila,2003,686
Brasov,2003,1013
Buzau,2003,736
Calarasi,2003,546
Caras-Severin,2003,494
Cluj,2003,1025
Constanta,2003,1039
Covasna,2003,322
Dambovita,2003,905
Dolj,2003,434
Galati,2003,1356
Giurgiu,2003,154
Gorj,2003,614
Harghita,2003,396
Hunedoara,2003,1463
Ialomita,2003,376
Iasi,2003,841
Ilfov,2003,204
Maramures,2003,933
Mehedinti,2003,544
Municipiul Bucuresti,2003,2421
Mures,2003,757
Neamt,2003,997
Olt,2003,430
Prahova,2003,1422
Salaj,2003,317
Satu Mare,2003,784
Sibiu,2003,920
Suceava,2003,1275
Teleorman,2003,550
Timis,2003,951
Tulcea,2003,449
Valcea,2003,653
Vaslui,2003,564
Vrancea,2003,720
Alba,2004,703
Arad,2004,842
Arges,2004,1071
Bacau,2004,1837
Bihor,2004,662
Bistrita-Nasaud,2004,481
Botosani,2004,707
Braila,2004,749
Brasov,2004,858
Buzau,2004,785
Calarasi,2004,633
Caras-Severin,2004,591
Cluj,2004,1267
Constanta,2004,1023
Covasna,2004,400
Dambovita,2004,968
Dolj,2004,397
Galati,2004,1360
Giurgiu,2004,173
Gorj,2004,513
Harghita,2004,395
Hunedoara,2004,1377
Ialomita,2004,468
Iasi,2004,889
Ilfov,2004,194
Maramures,2004,1020
Mehedinti,2004,512
Municipiul Bucuresti,2004,3034
Mures,2004,854
Neamt,2004,1156
Olt,2004,425
Prahova,2004,1553
Salaj,2004,271
Satu Mare,2004,763
Sibiu,2004,832
Suceava,2004,1348
Teleorman,2004,559
Timis,2004,1164
Tulcea,2004,422
Valcea,2004,722
Vaslui,2004,594
Vrancea,2004,653
Alba,2005,563
Arad,2005,706
Arges,2005,1021
Bacau,2005,1421
Bihor,2005,622
Bistrita-Nasaud,2005,387
Botosani,2005,768
Braila,2005,827
Brasov,2005,1075
Buzau,2005,726
Calarasi,2005,715
Caras-Severin,2005,570
Cluj,2005,1036
Constanta,2005,974
Covasna,2005,396
Dambovita,2005,816
Dolj,2005,379
Galati,2005,1272
Giurgiu,2005,210
Gorj,2005,521
Harghita,2005,382
Hunedoara,2005,1162
Ialomita,2005,382
Iasi,2005,707
Ilfov,2005,130
Maramures,2005,906
Mehedinti,2005,554
Municipiul Bucuresti,2005,3083
Mures,2005,741
Neamt,2005,1206
Olt,2005,600
Prahova,2005,1382
Salaj,2005,256
Satu Mare,2005,732
Sibiu,2005,895
Suceava,2005,1258
Teleorman,2005,544
Timis,2005,1037
Tulcea,2005,484
Valcea,2005,635
Vaslui,2005,522
Vrancea,2005,590
Alba,2006,555
Arad,2006,718
Arges,2006,1121
Bacau,2006,1507
Bihor,2006,425
Bistrita-Nasaud,2006,639
Botosani,2006,688
Braila,2006,829
Brasov,2006,959
Buzau,2006,821
Calarasi,2006,690
Caras-Severin,2006,590
Cluj,2006,979
Constanta,2006,882
Covasna,2006,334
Dambovita,2006,882
Dolj,2006,390
Galati,2006,1511
Giurgiu,2006,183
Gorj,2006,509
Harghita,2006,374
Hunedoara,2006,1278
Ialomita,2006,365
Iasi,2006,602
Ilfov,2006,133
Maramures,2006,806
Mehedinti,2006,545
Municipiul Bucuresti,2006,2844
Mures,2006,759
Neamt,2006,1120
Olt,2006,623
Prahova,2006,1313
Salaj,2006,273
Satu Mare,2006,655
Sibiu,2006,800
Suceava,2006,1221
Teleorman,2006,637
Timis,2006,742
Tulcea,2006,446
Valcea,2006,620
Vaslui,2006,611
Vrancea,2006,693
Alba,2007,530
Arad,2007,936
Arges,2007,1078
Bacau,2007,1399
Bihor,2007,512
Bistrita-Nasaud,2007,524
Botosani,2007,755
Braila,2007,799
Brasov,2007,1630
Buzau,2007,873
Calarasi,2007,851
Caras-Severin,2007,549
Cluj,2007,1053
Constanta,2007,957
Covasna,2007,354
Dambovita,2007,833
Dolj,2007,697
Galati,2007,1515
Giurgiu,2007,188
Gorj,2007,379
Harghita,2007,364
Hunedoara,2007,1315
Ialomita,2007,486
Iasi,2007,552
Ilfov,2007,259
Maramures,2007,1016
Mehedinti,2007,544
Municipiul Bucuresti,2007,3510
Mures,2007,784
Neamt,2007,1066
Olt,2007,631
Prahova,2007,1573
Salaj,2007,280
Satu Mare,2007,776
Sibiu,2007,760
Suceava,2007,1247
Teleorman,2007,647
Timis,2007,1330
Tulcea,2007,492
Valcea,2007,561
Vaslui,2007,919
Vrancea,2007,784
Alba,2008,618
Arad,2008,792
Arges,2008,948
Bacau,2008,1796
Bihor,2008,528
Bistrita-Nasaud,2008,303
Botosani,2008,752
Braila,2008,888
Brasov,2008,890
Buzau,2008,825
Calarasi,2008,691
Caras-Severin,2008,661
Cluj,2008,1291
Constanta,2008,935
Covasna,2008,326
Dambovita,2008,885
Dolj,2008,728
Galati,2008,1454
Giurgiu,2008,252
Gorj,2008,317
Harghita,2008,372
Hunedoara,2008,1265
Ialomita,2008,486
Iasi,2008,792
Ilfov,2008,354
Maramures,2008,956
Mehedinti,2008,539
