megye,ev,szam
Covasna,1998,1294
Covasna,1999,1275
Covasna,2000,1195
Covasna,2001,1198
Covasna,2002,1127
Covasna,2003,1221
Covasna,2005,1276
Covasna,2006,1348
Covasna,2007,2366
Covasna,2008,1312
Covasna,2009,1287
Covasna,2010,1063
Covasna,2011,860
Covasna,2012,872
Covasna,2013,982
Covasna,2014,1016
Covasna,2015,1042
Covasna,2016,1084
Covasna,2017,1087
Covasna,2018,1134
Covasna,2019,1193
Covasna,2020,709
Covasna,2021,1135
Covasna,2022,1102
Covasna,3004,1299
Dambovita,1990,4603
Dambovita,1991,4640
Dambovita,1992,4298
Dambovita,1993,4025
Dambovita,1994,3551
Dambovita,1995,3552
Dambovita,1996,3694
Dambovita,1997,3505
Dambovita,1998,3525
Dambovita,1999,3432
Dambovita,2000,3176
Dambovita,2001,2897
Dambovita,2002,2931
Dambovita,2003,3103
Dambovita,2005,2942
Dambovita,2006,3131
Dambovita,2007,4690
Dambovita,2008,3471
Dambovita,2009,3120
Dambovita,2010,2707
Dambovita,2011,2292
Dambovita,2012,2420
Dambovita,2013,2386
Dambovita,2014,2415
Dambovita,2015,2582
Dambovita,2016,2846
Dambovita,2017,3179
Dambovita,2018,2919
Dambovita,2019,3008
Dambovita,2020,1835
Dambovita,2021,2590
Dambovita,2022,2732
Dambovita,3004,3458
Dolj,1990,5800
Dolj,1991,5665
Dolj,1992,5489
Dolj,1993,5146
Dolj,1994,4404
Dolj,1995,4899
Dolj,1996,4533
Dolj,1997,4696
Dolj,1998,4502
Dolj,1999,4288
Dolj,2000,4080
Dolj,2001,3722
Dolj,2002,3882
Dolj,2003,3932
Dolj,2005,4394
Dolj,2006,4726
Dolj,2007,7626
Dolj,2008,4343
Dolj,2009,4130
Dolj,2010,3471
Dolj,2011,3100
Dolj,2012,3210
Dolj,2013,3062
Dolj,2014,3315
Dolj,2015,3508
Dolj,2016,3769
Dolj,2017,3957
Dolj,2018,3924
Dolj,2019,3640
Dolj,2020,2136
Dolj,2021,3354
Dolj,2022,3640
Dolj,3004,3942
Galati,1990,5908
Galati,1991,5542
Galati,1992,5511
Galati,1993,5314
Galati,1994,4967
Galati,1995,5183
Galati,1996,4834
Galati,1997,4757
Galati,1998,4417
Galati,1999,4435
Galati,2000,4375
Galati,2001,4109
Galati,2002,3786
Galati,2003,4004
Galati,2005,4072
Galati,2006,4172
Galati,2007,5372
Galati,2008,4319
Galati,2009,3641
Galati,2010,2971
Galati,2011,2707
Galati,2012,2819
Galati,2013,2634
Galati,2014,3201
Galati,2015,3544
Galati,2016,3667
Galati,2017,3715
Galati,2018,3655
Galati,2019,3798
Galati,2020,2243
Galati,2021,3370
Galati,2022,3458
Galati,3004,3973
Giurgiu,1990,2462
Giurgiu,1991,2216
Giurgiu,1992,2033
Giurgiu,1993,1984
Giurgiu,1994,1926
Giurgiu,1995,1770
Giurgiu,1996,1598
Giurgiu,1997,1509
Giurgiu,1998,1565
Giurgiu,1999,1468
Giurgiu,2000,1477
Giurgiu,2001,1292
Giurgiu,2002,1181
Giurgiu,2003,1372
Giurgiu,2005,1334
Giurgiu,2006,1584
Giurgiu,2007,2591
Giurgiu,2008,1726
Giurgiu,2009,1447
Giurgiu,2010,1109
Giurgiu,2011,1041
Giurgiu,2012,1138
Giurgiu,2013,1070
Giurgiu,2014,1227
Giurgiu,2015,1378
Giurgiu,2016,1519
Giurgiu,2017,1602
Giurgiu,2018,1829
Giurgiu,2019,1670
Giurgiu,2020,1056
Giurgiu,2021,1388
Giurgiu,2022,1595
Giurgiu,3004,1418
Gorj,1990,3275
Gorj,1991,3311
Gorj,1992,3404
Gorj,1993,3264
Gorj,1994,3176
Gorj,1995,3058
Gorj,1996,2961
Gorj,1997,2788
Gorj,1998,2804
Gorj,1999,2605
Gorj,2000,2501
Gorj,2001,2416
Gorj,2002,2434
Gorj,2003,2520
Gorj,2005,2302
Gorj,2006,2537
Gorj,2007,3176
Gorj,2008,2365
Gorj,2009,2304
Gorj,2010,2066
Gorj,2011,1914
Gorj,2012,1959
Gorj,2013,1919
Gorj,2014,1981
Gorj,2015,2094
Gorj,2016,2223
Gorj,2017,2258
Gorj,2018,2150
Gorj,2019,2131
