megye,ev,szam
Mehedinti,2011,498
Mehedinti,2012,431
Mehedinti,2013,288
Mehedinti,2014,247
Mehedinti,2015,326
Mehedinti,2016,320
Mehedinti,2017,250
Mehedinti,2018,345
Mehedinti,2019,435
Mehedinti,2020,256
Mehedinti,2021,362
Mehedinti,2022,280
Municipiul Bucuresti,1990,4628
Municipiul Bucuresti,1991,4868
Municipiul Bucuresti,1992,3817
Municipiul Bucuresti,1993,3852
Municipiul Bucuresti,1994,5628
Municipiul Bucuresti,1995,3806
Municipiul Bucuresti,1996,3534
Municipiul Bucuresti,1997,2646
Municipiul Bucuresti,1998,3553
Municipiul Bucuresti,1999,3293
Municipiul Bucuresti,2000,2708
Municipiul Bucuresti,2001,2386
Municipiul Bucuresti,2002,2000
Municipiul Bucuresti,2003,2421
Municipiul Bucuresti,2004,3034
Municipiul Bucuresti,2005,3083
Municipiul Bucuresti,2006,2844
Municipiul Bucuresti,2007,3510
Municipiul Bucuresti,2008,3390
Municipiul Bucuresti,2009,2863
Municipiul Bucuresti,2010,2763
Municipiul Bucuresti,2011,3949
Municipiul Bucuresti,2012,3421
Municipiul Bucuresti,2013,2876
Municipiul Bucuresti,2014,2759
Municipiul Bucuresti,2015,3421
Municipiul Bucuresti,2016,3075
Municipiul Bucuresti,2017,2740
Municipiul Bucuresti,2018,2888
Municipiul Bucuresti,2019,2641
Municipiul Bucuresti,2020,2021
Municipiul Bucuresti,2021,2600
Municipiul Bucuresti,2022,2016
Mures,1990,744
Mures,1991,920
Mures,1992,627
Mures,1993,885
Mures,1994,925
Mures,1995,776
Mures,1996,815
Mures,1997,739
Mures,1998,1000
Mures,1999,836
Mures,2000,692
Mures,2001,655
Mures,2002,711
Mures,2003,757
Mures,2004,854
Mures,2005,741
Mures,2006,759
Mures,2007,784
Mures,2008,880
Mures,2009,728
Mures,2010,864
Mures,2011,771
Mures,2012,760
Mures,2013,576
Mures,2014,623
Mures,2015,685
Mures,2016,707
Mures,2017,681
Mures,2018,711
Mures,2019,753
Mures,2020,584
Mures,2021,765
Mures,2022,524
Neamt,1990,684
Neamt,1991,856
Neamt,1992,615
Neamt,1993,491
Neamt,1994,783
Neamt,1995,889
Neamt,1996,978
Neamt,1997,886
Neamt,1998,863
Neamt,1999,739
Neamt,2000,776
Neamt,2001,980
Neamt,2002,1003
Neamt,2003,997
Neamt,2004,1156
Neamt,2005,1206
Neamt,2006,1120
Neamt,2007,1066
Neamt,2008,1246
Neamt,2009,1175
Neamt,2010,1080
Neamt,2011,1204
Neamt,2012,931
Neamt,2013,877
Neamt,2014,794
Neamt,2015,757
Neamt,2016,784
Neamt,2017,925
Neamt,2018,901
Neamt,2019,826
Neamt,2020,624
Neamt,2021,533
Neamt,2022,616
Olt,1990,434
Olt,1991,430
Olt,1992,361
Olt,1993,451
Olt,1994,609
Olt,1995,540
Olt,1996,448
Olt,1997,677
Olt,1998,579
Olt,1999,495
Olt,2000,435
Olt,2001,431
Olt,2002,489
Olt,2003,430
Olt,2004,425
Olt,2005,600
Olt,2006,623
Olt,2007,631
Olt,2008,711
Olt,2009,620
Olt,2010,643
Olt,2011,583
Olt,2012,490
Olt,2013,435
Olt,2014,426
Olt,2015,493
Olt,2016,476
Olt,2017,514
Olt,2018,565
Olt,2019,518
Olt,2020,243
Olt,2021,531
Olt,2022,312
Prahova,1990,1485
Prahova,1991,1864
Prahova,1992,1638
Prahova,1993,1705
Prahova,1994,2083
Prahova,1995,1688
Prahova,1996,1833
Prahova,1997,1364
Prahova,1998,1565
Prahova,1999,1708
Prahova,2000,1086
Prahova,2001,955
Prahova,2002,1527
Prahova,2003,1422
Prahova,2004,1553
Prahova,2005,1382
Prahova,2006,1313
Prahova,2007,1573
Prahova,2008,1650
Prahova,2009,1594
Prahova,2010,1389
Prahova,2011,1418
Prahova,2012,1080
Prahova,2013,1088
Prahova,2014,1085
Prahova,2015,1153
Prahova,2016,1187
Prahova,2017,1210
Prahova,2018,1271
Prahova,2019,1311
Prahova,2020,840
Prahova,2021,1004
Prahova,2022,842
Salaj,1990,183
Salaj,1991,219
Salaj,1992,190
Salaj,1993,227
Salaj,1994,294
Salaj,1995,271
Salaj,1996,273
Salaj,1997,310
Salaj,1998,321
Salaj,1999,275
Salaj,2000,261
Salaj,2001,269
Salaj,2002,280
Salaj,2003,317
Salaj,2004,271
Salaj,2005,256
Salaj,2006,273
Salaj,2007,280
Salaj,2008,261
Salaj,2009,347
Salaj,2010,335
Salaj,2011,327
Salaj,2012,363
Salaj,2013,303
Salaj,2014,274
Salaj,2015,358
Salaj,2016,309
Salaj,2017,321
Salaj,2018,363
Salaj,2019,324
Salaj,2020,255
Salaj,2021,338
Salaj,2022,257
Satu Mare,1990,556
Satu Mare,1991,646
Satu Mare,1992,442
Satu Mare,1993,511
Satu Mare,1994,547
Satu Mare,1995,567
Satu Mare,1996,674
Satu Mare,1997,676
Satu Mare,1998,687
Satu Mare,1999,640
Satu Mare,2000,592
Satu Mare,2001,716
Satu Mare,2002,881
Satu Mare,2003,784
Satu Mare,2004,763
Satu Mare,2005,732
Satu Mare,2006,655
Satu Mare,2007,776
Satu Mare,2008,677
Satu Mare,2009,567
Satu Mare,2010,709
Satu Mare,2011,575
Satu Mare,2012,566
Satu Mare,2013,515
Satu Mare,2014,496
Satu Mare,2015,680
Satu Mare,2016,581
Satu Mare,2017,576
Satu Mare,2018,554
Satu Mare,2019,563
Satu Mare,2020,388
Satu Mare,2021,499
Satu Mare,2022,414
Sibiu,1990,756
Sibiu,1991,873
Sibiu,1992,766
Sibiu,1993,739
Sibiu,1994,994
Sibiu,1995,921
Sibiu,1996,917
Sibiu,1997,954
Sibiu,1998,1114
Sibiu,1999,913
Sibiu,2000,862
Sibiu,2001,874
Sibiu,2002,861
Sibiu,2003,920
Sibiu,2004,832
Sibiu,2005,895
Sibiu,2006,800
Sibiu,2007,760
Sibiu,2008,716
Sibiu,2009,667
Sibiu,2010,792
Sibiu,2011,872
Sibiu,2012,782
