Ev,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Prahova,209,137,95,138,244,242,183,153,109,176,121,80,128,157,99,173,124,125,148,112,162,242,232,174,225,357,324,437,374,270,456,597
Teleorman,90,10,14,13,25,48,33,26,38,52,25,8,17,32,28,40,25,40,33,43,114,165,160,119,144,203,204,226,222,171,233,266
Ilfov,58,49,27,61,100,76,35,27,18,21,14,17,26,25,11,22,15,30,31,17,41,36,69,77,97,136,162,181,182,151,248,301
Municipiul Bucuresti,2124,2089,1345,2044,3284,2828,2150,3182,2082,1609,941,798,1025,1279,1087,1457,1000,951,1134,865,2935,2830,3151,955,1424,2011,2072,2381,2230,1790,2802,3654
Dolj,241,98,72,77,234,178,161,126,133,149,99,72,118,184,163,174,121,101,184,127,156,152,162,141,172,279,258,298,289,215,358,479
Gorj,59,26,25,14,32,45,30,24,26,31,12,18,26,22,28,27,26,35,42,35,55,39,57,45,69,87,86,95,108,73,152,195
Mehedinti,159,68,41,60,52,58,83,51,43,60,28,19,26,32,33,57,37,41,60,36,63,46,68,60,61,105,84,99,119,79,153,163
Olt,44,31,14,21,41,31,67,50,32,55,26,13,28,25,38,54,44,41,52,41,71,106,107,98,120,141,136,191,154,126,214,255
Valcea,89,38,24,26,71,68,74,64,74,107,53,48,78,75,44,79,48,61,72,62,79,92,64,62,79,152,135,146,158,104,171,239
Arad,1520,701,1208,457,609,445,502,253,183,240,147,137,151,228,179,206,130,145,160,121,217,247,207,174,228,334,311,327,330,287,426,591
Caras-Severin,963,534,415,355,562,438,348,221,140,222,87,105,129,151,148,235,149,143,161,97,183,194,211,162,200,285,278,380,368,265,391,545
Hunedoara,395,246,152,161,290,197,237,151,112,149,96,86,138,175,124,175,156,164,181,149,214,179,213,155,196,300,335,335,305,267,433,619
Timis,2746,1962,1382,1561,1684,1384,1159,680,468,547,320,305,444,588,488,606,358,391,405,342,614,593,534,337,496,755,739,777,819,571,894,1222
